categoria,total_acidentes,total_mortos,acidentes_fatais,perc_fatais,lift
Atropelamento de Pedestre,3057,919,902,29.51,4.11
Colisão frontal,4739,1863,1396,29.46,4.1
Colisão lateral sentido oposto,2152,255,212,9.85,1.37
Eventos atípicos,287,24,23,8.01,1.12
Atropelamento de Animal,1133,74,68,6.0,0.84
Saída de leito carroçável,10209,700,605,5.93,0.82
Colisão com objeto,5109,323,297,5.81,0.81
Capotamento,1373,74,63,4.59,0.64
Colisão transversal,9306,481,427,4.59,0.64
Colisão traseira,14360,683,619,4.31,0.6
Tombamento,6351,293,268,4.22,0.59
Derramamento de carga,107,3,3,2.8,0.39
Colisão lateral mesmo sentido,7885,228,212,2.69,0.37
Queda de ocupante de veículo,3450,89,87,2.52,0.35
Engavetamento,1233,34,28,2.27,0.32
Incêndio,1771,0,0,0.0,0.0
