causa_acidente,total_acidentes,acidentes_fatais,total_mortos,perc_fatais
Suicídio (presumido),190,106,111,55.79
Pedestre andava na pista,606,250,252,41.25
Entrada inopinada do pedestre,667,203,209,30.43
Transitar na contramão,2475,736,961,29.74
Pedestre cruzava a pista fora da faixa,525,130,133,24.76
Pedestre - Ingestão de álcool/ substâncias psicoativas,150,27,28,18.0
Ultrapassagem Indevida,1770,302,404,17.06
Iluminação deficiente,157,23,24,14.65
Deficiência do Sistema de Iluminação/Sinalização,165,24,24,14.55
Mal súbito do condutor,546,73,87,13.37
Transitar no Acostamento,498,65,71,13.05
Velocidade Incompatível,4088,385,470,9.42
Curva acentuada,203,17,19,8.37
Problema com o freio,247,19,21,7.69
Demais falhas na via,275,19,23,6.91
Ausência de reação do condutor,11469,779,855,6.79
Condutor Dormindo,2116,135,171,6.38
Afundamento ou ondulação no pavimento,206,12,14,5.83
Acessar a via sem observar a presença dos outros veículos,7097,394,421,5.55
Animais na Pista,1305,72,78,5.52
