cid,name,type,notnull,dflt_value,pk
0,id,INTEGER,0,,0
1,data_inversa,TEXT,0,,0
2,dia_semana,TEXT,0,,0
3,horario,TEXT,0,,0
4,uf,TEXT,0,,0
5,br,INTEGER,0,,0
6,km,TEXT,0,,0
7,municipio,TEXT,0,,0
8,causa_acidente,TEXT,0,,0
9,tipo_acidente,TEXT,0,,0
10,classificacao_acidente,TEXT,0,,0
11,fase_dia,TEXT,0,,0
12,sentido_via,TEXT,0,,0
13,condicao_metereologica,TEXT,0,,0
14,tipo_pista,TEXT,0,,0
15,tracado_via,TEXT,0,,0
16,uso_solo,TEXT,0,,0
17,pessoas,INTEGER,0,,0
18,mortos,INTEGER,0,,0
19,feridos_leves,INTEGER,0,,0
20,feridos_graves,INTEGER,0,,0
21,ilesos,INTEGER,0,,0
22,ignorados,INTEGER,0,,0
23,feridos,INTEGER,0,,0
24,veiculos,INTEGER,0,,0
25,latitude,TEXT,0,,0
26,longitude,TEXT,0,,0
27,regional,TEXT,0,,0
28,delegacia,TEXT,0,,0
29,uop,TEXT,0,,0
