tipo_pista,fase_dia,total_acidentes,acidentes_fatais,perc_fatais,lift
Simples,Amanhecer,1803,264,14.64,2.04
Simples,Plena Noite,12244,1610,13.15,1.83
Simples,Anoitecer,1921,176,9.16,1.28
Dupla,Plena Noite,10181,776,7.62,1.06
Dupla,Amanhecer,1374,104,7.57,1.05
Simples,Pleno dia,18765,1374,7.32,1.02
Múltipla,Amanhecer,270,18,6.67,0.93
Múltipla,Plena Noite,2356,136,5.77,0.8
Múltipla,Anoitecer,363,14,3.86,0.54
Dupla,Anoitecer,1642,63,3.84,0.53
Dupla,Pleno dia,17585,558,3.17,0.44
Múltipla,Pleno dia,4025,117,2.91,0.4
